Company Name,Address,Latitude,Longitude,Google Maps Link
"Hard n Soft Technologies Pvt. Ltd","Kochar Technology Park, 5th Floor Door No: SP - 31A, 2nd Main Road 1st Cross Ambattur Industrial Estate",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Bull Machines Pvt Ltd.","S.F. No. 41, Kangeyampalayam Post, Trichy Road, Sulur",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Tool Tec Engineering","Tass Industrial Estate No. 8 Mahathma Gandhi 6th",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Tadpole Engineering Consultancy","No 29 30 & 31 Karanthangal Village Nemilli Panchayath",12.8796051,79.7042762,https://www.google.com/maps?q=12.8796051,79.7042762
"Government college of Engineering","Gandharvakottai Road Sengipatti",10.659037,79.2014278,https://www.google.com/maps?q=10.659037,79.2014278
"Chennai Forge Products Pvt Ltd.","Plot No, New No: 57,Old No: 67, SIDCO Industrial Estate(North), Sector 1, 3rd , Ambattur",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"DEP India Pvt. Ltd.","2/86, 7th Avenue, Ashok Nagar",13.0338313,80.2160877,https://www.google.com/maps?q=13.0338313,80.2160877
"Raini Industries India Pvt. Ltd.","6, Nehru , Sardar Colony Ekkattuthangal",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"HIVEC RHINO TECHNOLOGIES Pvt. Ltd.","Plot number 2 & 3, Vellanthangal village, Sriperumbudur",12.9666144,79.9458077,https://www.google.com/maps?q=12.9666144,79.9458077
"Dynamic Stamping","Plot No.99. Survey No.561/1C-2 Papparambakkam Village Tiruvallur Taluk & District",13.1394221,79.9070839,https://www.google.com/maps?q=13.1394221,79.9070839
"UCAL FUEL SYSTEMS LIMITED","11 B/2 (S.P), First Cross Road Ambattur Industrial Estate",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Titan Engineering & Automation Ltd","Unit-II, No. 141, S. Muduganapalli Denkanikottai Road",12.7183361,77.8229481,https://www.google.com/maps?q=12.7183361,77.8229481
"SANKO GOSEI TECHNOLOGY INDIA PVT. LTD","#5, AKS Tower, 2nd Floor, Somasundaram Avenue,Shakthi Nagar, Porur",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"SEOYON E-HWA AUTOMOTIVE INDIA PRIVATE LIMITED","A-5 Sipcot Industrial Growth Centre Mathur Village, Oragadam, Sriperumbudur Taluk, Kancheepuram Dist",12.8796051,79.7042762,https://www.google.com/maps?q=12.8796051,79.7042762
"ACCURATE STEEL FORGINGS (INDIA) LIM","DP.No 33, SIDCO Indsutrial Estate, Thiruvallur District, Thirumazhisai",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"EDS Technologies","EDS Technologies Pvt Ltd, Dickenson Road, Hanumanthappa La",12.9743428,77.6147338,https://www.google.com/maps?q=12.9743428,77.6147338
"Amphenol Interconnect India Pvt Ltd","Amphenol Interconnect Pvt. Ltd., 4th A Cross Road, Bengaluru,",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"BrahMos Aerospace","BrahMos Aerospace, Chilakkoor-Vallakkadavu Road, Aishwarya",8.5241391,76.9366376,https://www.google.com/maps?q=8.5241391,76.9366376
"Cogne Acciai Speciali SpA","Cogne Acciai Speciali Spa, 16, Via Paravera - Rue Paravare, A",45.7337176,7.3230835,https://www.google.com/maps?q=45.7337176,7.3230835
"BHARAT DYNAMICS LIMITED","BHARAT DYNAMICS LIMITED, Kanchanbagh, Hyderabad",17.385044,78.486671,https://www.google.com/maps?q=17.385044,78.486671
"GIFAS","GIFAS, 8 Rue de la Michodière, Paris",48.856614,2.352222,https://www.google.com/maps?q=48.856614,2.352222
"DASSAULT AVIATION","DASSAULT AVIATION, 9 Rond-Point des Champs-Élysées-Marcel Dassault, Paris",48.856614,2.352222,https://www.google.com/maps?q=48.856614,2.352222
"SMPP Limited","SMPP Limited, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"Indo Aerospace Solutions Private Lir","Indo Aerospace Solutions Private Limited, HAL Airport Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"Embraer","Embraer, Av. Brigadeiro Faria Lima, São José dos Campos",-23.5505,-46.6333,https://www.google.com/maps?q=-23.5505,-46.6333
"SASMOS HET Technologies Limited","SASMOS HET Technologies Limited, Peenya Industrial Area, Bangalore",13.0827,77.5877,https://www.google.com/maps?q=13.0827,77.5877
"MBDA","MBDA, 1 Avenue Réaumur, Le Plessis-Robinson",48.7833,2.2667,https://www.google.com/maps?q=48.7833,2.2667
"Dynamatic Technologies Limited","Dynamatic Technologies Limited, Hosur Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"Breton SpA","Breton SpA, Via Garibaldi, Castello di Godego",45.6944,11.8811,https://www.google.com/maps?q=45.6944,11.8811
"BEML LIMITED","BEML LIMITED, KGF Road, Kolar Gold Fields",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"Saab","Saab, Olof Palmes gata, Linköping",58.4108,15.6214,https://www.google.com/maps?q=58.4108,15.6214
"Sona Speed Private Limited","Sona Speed Private Limited, Gurgaon, Haryana",28.4595,77.0266,https://www.google.com/maps?q=28.4595,77.0266
"HINDUSTAN AERONAUTICS LIMITED","HINDUSTAN AERONAUTICS LIMITED, HAL Airport Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"Next Defence Private Limited","Next Defence Private Limited, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"ADRYS TECHNOLOGIES","ADRYS TECHNOLOGIES, Whitefield, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"ADDEV Materials Private Limited","ADDEV Materials Private Limited, Peenya, Bangalore",13.0827,77.5877,https://www.google.com/maps?q=13.0827,77.5877
"Pawan Hans Limited","Pawan Hans Limited, Vasant Vihar, New Delhi",28.6139,77.209,https://www.google.com/maps?q=28.6139,77.209
"Central Manufacturing Technology Ir","Central Manufacturing Technology Institute, Tumkur Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"The Boeing Company","The Boeing Company, 100 N Riverside Plaza, Chicago",41.8781,-87.6298,https://www.google.com/maps?q=41.8781,-87.6298
"Godrej & Boyce Mfg. Co. Ltd.","Godrej & Boyce Mfg. Co. Ltd., Vikhroli, Mumbai",19.076,72.8777,https://www.google.com/maps?q=19.076,72.8777
"CoreEL Technologies India Private Li","CoreEL Technologies India Private Limited, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"Indian Institute of Management Bang","Indian Institute of Management Bangalore, Bannerghatta Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"Gliders India Limited","Gliders India Limited, Hosur Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"HENSOLDT AG","HENSOLDT AG, Willy-Messerschmitt-Straße, Taufkirchen",48.1351,11.582,https://www.google.com/maps?q=48.1351,11.582
"Bharat Forge Ltd","Bharat Forge Ltd, Mundhwa, Pune",18.5204,73.8567,https://www.google.com/maps?q=18.5204,73.8567
"Azad Engineering Limited","Azad Engineering Limited, Kompally, Hyderabad",17.385044,78.486671,https://www.google.com/maps?q=17.385044,78.486671
"Tata Advanced Systems Limited","Tata Advanced Systems Limited, Adibatla, Hyderabad",17.385044,78.486671,https://www.google.com/maps?q=17.385044,78.486671
"Karnataka Udyog Mitra","Karnataka Udyog Mitra, Race Course Road, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"AMAR RADIO CORPORATION","AMAR RADIO CORPORATION, Peenya Industrial Area, Bangalore",13.0827,77.5877,https://www.google.com/maps?q=13.0827,77.5877
"Rotary Electronics","Rotary Electronics, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"DAVI","DAVI, Via Roma, Campodarsego",45.5,11.9167,https://www.google.com/maps?q=45.5,11.9167
"Bharat Electronics Limited","Bharat Electronics Limited, Jalahalli, Bangalore",13.0827,77.5877,https://www.google.com/maps?q=13.0827,77.5877
"Z Forge","Z Forge, Peenya Industrial Area, Bangalore",13.0827,77.5877,https://www.google.com/maps?q=13.0827,77.5877
"THALES","THALES, 45 rue de Villiers, Neuilly-sur-Seine",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"Indian Air Force","Indian Air Force, Vayu Bhawan, New Delhi",28.6139,77.209,https://www.google.com/maps?q=28.6139,77.209
"Electronics Corporation of India Lim","Electronics Corporation of India Limited, ECIL Post, Hyderabad",17.385044,78.486671,https://www.google.com/maps?q=17.385044,78.486671
"LMW Limited","LMW Limited, Coimbatore, Tamil Nadu",11.0168,76.9558,https://www.google.com/maps?q=11.0168,76.9558
"SFO Technologies Pvt Ltd","SFO Technologies Pvt Ltd, Technopark, Trivandrum",8.5241,76.9366,https://www.google.com/maps?q=8.5241,76.9366
"ABC","ABC, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"STACEM","STACEM, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"SOCOMORE","SOCOMORE, Avenue des Champs-Élysées, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"Sirius Technologies","Sirius Technologies, Whitefield, Bangalore",12.9715987,77.5945627,https://www.google.com/maps?q=12.9715987,77.5945627
"SIDM","SIDM, Connaught Place, New Delhi",28.6139,77.209,https://www.google.com/maps?q=28.6139,77.209
"EUROPE TECHNOLOGIES","EUROPE TECHNOLOGIES, Rue de la Loi, Brussels",50.8503,4.3517,https://www.google.com/maps?q=50.8503,4.3517
"HEXCEL","HEXCEL, 281 Tresser Boulevard, Stamford",41.0534,-73.5387,https://www.google.com/maps?q=41.0534,-73.5387
"LACROIX","LACROIX, Rue de la Gare, Saint-Herblain",47.2184,-1.5536,https://www.google.com/maps?q=47.2184,-1.5536
"LEBRONZE ALLOYS","LEBRONZE ALLOYS, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"MACH AERO","MACH AERO, Aviation Way, Wichita",37.6872,-97.3301,https://www.google.com/maps?q=37.6872,-97.3301
"ROXEL","ROXEL, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"SBG Systems","SBG Systems, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"LAMECO","LAMECO, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"ASB Group","ASB Group, Queen Street, Auckland",-36.8485,174.7633,https://www.google.com/maps?q=-36.8485,174.7633
"Australian Department of Defence","Australian Department of Defence, Russell Offices, Canberra",-35.2809,149.13,https://www.google.com/maps?q=-35.2809,149.13
"HUTCHINSON SA","HUTCHINSON SA, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"ALA","ALA, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"LEONARDO","LEONARDO, Via del Corso, Rome",41.9028,12.4964,https://www.google.com/maps?q=41.9028,12.4964
"Hi-Tech","Hi-Tech, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"SAFRAN","SAFRAN, 2 boulevard du Général Martial Valin, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"CORSE COMPOSITES AERONAUTIQI","CORSE COMPOSITES AERONAUTIQUE, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"NSE","NSE, Exchange Plaza, Mumbai",19.076,72.8777,https://www.google.com/maps?q=19.076,72.8777
"VALLAIR","VALLAIR, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"DEDIENNE AEROSPACE","DEDIENNE AEROSPACE, Rue de la Paix, Paris",48.8566,2.3522,https://www.google.com/maps?q=48.8566,2.3522
"Dassault Systemes","Dassault Systemes, 10 rue Marcel Dassault, Vélizy-Villacoublay",48.7833,2.2667,https://www.google.com/maps?q=48.7833,2.2667
"Micross","Micross, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"CDAC","CDAC, Pune University Campus, Pune",18.5204,73.8567,https://www.google.com/maps?q=18.5204,73.8567
"mod","Ministry of Defence, Whitehall, London",51.5074,-0.1278,https://www.google.com/maps?q=51.5074,-0.1278
"Indian Navy","Indian Navy, South Block, New Delhi",28.6139,77.209,https://www.google.com/maps?q=28.6139,77.209
"Indian Army","Indian Army, South Block, New Delhi",28.6139,77.209,https://www.google.com/maps?q=28.6139,77.209
"Aerospace Industries Association","Aerospace Industries Association, 1000 Wilson Boulevard, Arlington",38.8869,-77.0917,https://www.google.com/maps?q=38.8869,-77.0917
"Future Metals","Future Metals, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"Lockheed Martin","Lockheed Martin, 6801 Rockledge Drive, Bethesda",38.9847,-77.0947,https://www.google.com/maps?q=38.9847,-77.0947
"Moog Inc","Moog Inc, 400 Jamison Road, East Aurora",42.767,-78.6147,https://www.google.com/maps?q=42.767,-78.6147
"RTX","RTX, 870 Winter Street, Waltham",42.3736,-71.1097,https://www.google.com/maps?q=42.3736,-71.1097
"Titanium Industries","Titanium Industries, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"L3Harris Technologies","L3Harris Technologies, 1025 West NASA Boulevard, Melbourne",28.0836,-80.6081,https://www.google.com/maps?q=28.0836,-80.6081
"F Zimmermann GmbH","F Zimmermann GmbH, Industriestraße, Stuttgart",48.7758,9.1829,https://www.google.com/maps?q=48.7758,9.1829
"Nordmetall GmbH","Nordmetall GmbH, Industriestraße, Hamburg",53.5511,9.9937,https://www.google.com/maps?q=53.5511,9.9937
"Quantum Systems GmbH","Quantum Systems GmbH, Industriestraße, Munich",48.1351,11.582,https://www.google.com/maps?q=48.1351,11.582
"VIRA GmbH","VIRA GmbH, Industriestraße, Berlin",52.52,13.405,https://www.google.com/maps?q=52.52,13.405
"Export-Import Bank of India","Export-Import Bank of India, World Trade Centre, Mumbai",19.076,72.8777,https://www.google.com/maps?q=19.076,72.8777
"HC Robotics Private Limited","HC Robotics Private Limited, Electronic City, Bangalore",12.8458,77.6658,https://www.google.com/maps?q=12.8458,77.6658
"Chennai Institute of Technology","Sarathy Nagar, Nandhambakkam (Post) Kundrathur",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"MontBleu Technologies Pvt Ltd","RR Landmark Udayampalayam Road Nava",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Motherson Automotive Technologies & Engineering","Chengalpattu, Sriperumbudur Road Pondur Village & Post Near Kancheepuram Dist",12.8796051,79.7042762,https://www.google.com/maps?q=12.8796051,79.7042762
"GTN ENGINEERING (I) LTD","2/439,K.S.N.Puram Post, Semmipalayam Village",10.9708115,77.2817262,https://www.google.com/maps?q=10.9708115,77.2817262
"IDC Engineering India Pvt Ltd","Plot no. 27/A 40 SIPCOT IT park,Padur Post",12.8235752,80.2221501,https://www.google.com/maps?q=12.8235752,80.2221501
