,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
43,"Hall E, Hall E, Hall E, Hall E, Hall E, Hall E","ER4.2, ER4.3, ER4.4, ER4.5, ER4.6, ER4.7",BHARAT DYNAMICS LIMITED,--,Exhibitor,India,Picture,"Plot No. 38-39, TSFC Building (Near ICICI Towers), Financial District, Gachibowli, Hyderabad, Telangana - 500032, India"
44,"Hall B, Hall B, Hall B","BR4.3, BR3.3, BR2.3",GIFAS,--,Exhibitor,Foreign,Picture,New Delhi
45,"Hall F, Hall F","FS1.14, FS1.13",Connekt electronics P Limited,--,Exhibitor,India,Picture,"409, 4th Main Rd, Krishna Reddy Layout, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071"
46,Hall A,AS3.3,Pushpak Products India Pvt Ltd,--,Exhibitor,India,Picture," 303, Pushpak, MES Ring Rd, Seetharam Industrial Estate, Jalahalli Village, Jalahalli, Bengaluru, Karnataka 560013"
47,Hall A,AR6.4,HFCL Limited,--,Exhibitor,India,Picture,"· 8, Commercial Complex, Masjid Moth, Greater Kailash II, New Delhi-110048, India"
48,"Hall C, Hall C","CS1.2, CS1.3",Pinaka Aerospace Solutions Pvt Ltd,--,Exhibitor,India,Picture,"Plot 18, KIADB Hi Tech Hardware Park, Mahadevakodigehalli, Bengaluru, Karnataka 562149."
49,Hall H,HS3.8,Arrowhead Media Pvt Ltd,--,Associate,India,Picture,"B-602 SOM VIHAR, R.K. PURAM , NEW DELHI, Delhi, India - 110022"
50,"CHALET, CHALET","CHALET.38, CHALET.39",DASSAULT AVIATION,--,Exhibitor,Foreign,Picture,"9 Rond-point Des Champs-Elysees Marcel Dassault, 75008 Paris, France"
51,"Hall A, Hall A","AR8.7, AR8.6",Rafael Advanced Defense Systems LTD,--,Exhibitor,Foreign,Picture,"Haifa, Israel, at POB 2250, 3102102 Haifa"
52,CHALET,CHALET.34,SMPP Limited,--,Exhibitor,India,Picture,"SM House 9, Panchsheel Community Centre, New Delhi, Delhi 110017"
